id,hash_mode,speed,accel,loops,thr,vec
0,0 - MD5,50515.3 MH/s (44.51ms),128,1024,256,4
1,10 - md5($pass.$salt),50682.6 MH/s (44.42ms),128,1024,256,4
2,11 - Joomla < 2.5.18,50957.5 MH/s (44.21ms),128,1024,256,4
3,12 - PostgreSQL,50968.8 MH/s (44.11ms),128,1024,256,4
4,20 - md5($salt.$pass),27196.5 MH/s (83.16ms),128,1024,256,4
5,"21 - osCommerce, xt:Commerce",27224.5 MH/s (83.06ms),128,1024,256,4
6,22 - Juniper NetScreen/SSG (ScreenOS),27994.1 MH/s (81.02ms),128,1024,256,4
7,23 - Skype,27843.1 MH/s (81.39ms),128,1024,256,4
8,30 - md5(utf16le($pass).$salt),51431.9 MH/s (43.86ms),128,1024,256,4
9,40 - md5($salt.utf16le($pass)),27889.3 MH/s (81.27ms),128,1024,256,4
10,50 - HMAC-MD5 (key = $pass),8048.5 MH/s (282.53ms),128,1024,256,1
11,60 - HMAC-MD5 (key = $salt),16993.6 MH/s (133.69ms),128,1024,256,1
12,100 - SHA1,15924.6 MH/s (142.70ms),128,1024,256,2
13,"101 - nsldap, SHA-1(Base64), Netscape LDAP SHA",15790.7 MH/s (143.88ms),128,1024,256,2
14,110 - sha1($pass.$salt),15915.7 MH/s (142.82ms),128,1024,256,2
15,"111 - nsldaps, SSHA-1(Base64), Netscape LDAP SSHA",15872.7 MH/s (143.18ms),128,1024,256,2
16,112 - Oracle S: Type (Oracle 11+),15858.9 MH/s (143.32ms),128,1024,256,2
17,120 - sha1($salt.$pass),12199.0 MH/s (186.35ms),128,1024,256,4
18,121 - SMF (Simple Machines Forum) > v1.1,12212.6 MH/s (186.18ms),128,1024,256,4
19,"122 - macOS v10.4, macOS v10.5, MacOS v10.6",12251.3 MH/s (185.64ms),128,1024,256,4
20,124 - Django (SHA-1),12117.7 MH/s (187.60ms),128,1024,256,4
21,125 - ArubaOS,12070.4 MH/s (188.32ms),128,1024,256,4
22,130 - sha1(utf16le($pass).$salt),16070.6 MH/s (141.37ms),128,1024,256,1
23,131 - MSSQL (2000),16101.5 MH/s (141.11ms),128,1024,256,1
24,132 - MSSQL (2005),16075.4 MH/s (141.33ms),128,1024,256,1
25,133 - PeopleSoft,16099.3 MH/s (141.07ms),128,1024,256,1
26,140 - sha1($salt.utf16le($pass)),12146.3 MH/s (187.17ms),128,1024,256,4
27,141 - Episerver 6.x < .NET 4,12183.9 MH/s (186.61ms),128,1024,256,4
28,150 - HMAC-SHA1 (key = $pass),3343.4 MH/s (340.26ms),128,512,256,1
29,160 - HMAC-SHA1 (key = $salt),6226.1 MH/s (365.46ms),128,1024,256,1
30,200 - MySQL323,153.2 GH/s (14.52ms),128,1024,256,4
31,300 - MySQL4.1/MySQL5,6949.2 MH/s (327.51ms),128,1024,256,1
32,"400 - phpass, WordPress (MD5), phpBB3 (MD5), Joomla (MD5) (Iterations: 2048)",13283.2 kH/s (78.29ms),128,1024,256,1
33,"500 - md5crypt, MD5 (Unix), Cisco-IOS $1$ (MD5) (Iterations: 1000)",21718.0 kH/s (91.90ms),1024,1000,32,1
34,501 - Juniper IVE (Iterations: 1000),21747.4 kH/s (91.88ms),1024,1000,32,1
35,600 - BLAKE2b,3599.8 MH/s (316.05ms),128,512,256,1
36,900 - MD4,75315.6 MH/s (29.91ms),128,1024,256,4
37,1000 - NTLM,73602.4 MH/s (30.49ms),128,1024,256,2
38,"1100 - Domain Cached Credentials (DCC), MS Cache",20814.7 MH/s (109.09ms),128,1024,256,4
39,1300 - SHA2-224,6938.4 MH/s (327.58ms),128,1024,256,1
40,1400 - SHA2-256,7154.8 MH/s (317.93ms),128,1024,256,1
41,1410 - sha256($pass.$salt),7074.7 MH/s (321.37ms),128,1024,256,1
42,"1411 - SSHA-256(Base64), LDAP {SSHA256}",7074.3 MH/s (321.56ms),128,1024,256,1
43,1420 - sha256($salt.$pass),6349.7 MH/s (358.42ms),128,1024,256,1
44,1421 - hMailServer,6367.4 MH/s (357.38ms),128,1024,256,1
45,1430 - sha256(utf16le($pass).$salt),7078.9 MH/s (321.31ms),128,1024,256,1
46,1440 - sha256($salt.utf16le($pass)),6271.6 MH/s (362.64ms),128,1024,256,1
47,1441 - Episerver 6.x >= .NET 4,6265.0 MH/s (363.05ms),128,1024,256,1
48,1450 - HMAC-SHA256 (key = $pass),1342.4 MH/s (423.91ms),128,256,256,1
49,1460 - HMAC-SHA256 (key = $salt),2673.1 MH/s (425.55ms),128,512,256,1
50,"1500 - descrypt, DES (Unix), Traditional DES",1682.3 MH/s (338.36ms),32,1024,256,1
51,"1600 - Apache $apr1$ MD5, md5apr1, MD5 (APR) (Iterations: 1000)",20532.6 kH/s (97.88ms),1024,1000,32,1
52,1700 - SHA2-512,2322.4 MH/s (244.86ms),128,256,256,1
53,1710 - sha512($pass.$salt),2320.9 MH/s (245.02ms),128,256,256,1
54,"1711 - SSHA-512(Base64), LDAP {SSHA512}",2318.1 MH/s (245.16ms),128,256,256,1
