id,hash_mode,speed,accel,loops
103,TrueCrypt 5.0+ PBKDF2-HMAC-Whirlpool + AES,   28795 H/s,8,1000
104,TrueCrypt 5.0+ PBKDF2-HMAC-RipeMD160 + AES + boot-mode, 1593.3 kH/s,64,1000
105,Android FDE <= 4.3,  549.6 kH/s,32,1024
106,eCryptfs,   10032 H/s,8,1024
107,"MS Office <= 2003 MD5 + RC4, oldoffice$0, oldoffice$1",  163.7 MH/s,32,1024
108,"MS Office <= 2003 MD5 + RC4, collision-mode #1",  239.8 MH/s,32,1024
109,"MS Office <= 2003 SHA1 + RC4, oldoffice$3, oldoffice$4",  229.1 MH/s,32,1024
110,"MS Office <= 2003 SHA1 + RC4, collision-mode #1",  261.7 MH/s,32,1024
111,Office 2007,   90499 H/s,32,1024
112,Office 2010,   45735 H/s,32,1024
113,Office 2013,    6683 H/s,4,1024
114,PDF 1.1 - 1.3 (Acrobat 2 - 4),  248.7 MH/s,32,1024
115,PDF 1.1 - 1.3 (Acrobat 2 - 4) + collider-mode #1,  283.2 MH/s,32,1024
116,PDF 1.4 - 1.6 (Acrobat 5 - 8),12087.3 kH/s,256,70
117,PDF 1.7 Level 3 (Acrobat 9), 1961.3 MH/s,256,1024
118,PDF 1.7 Level 8 (Acrobat 10 - 11),   25058 H/s,8,64
119,Password Safe v2,  200.6 kH/s,16,1000
120,Password Safe v3,  893.3 kH/s,16,1024
121,Lastpass, 1771.4 kH/s,64,500
122,"1Password, agilekeychain", 2184.4 kH/s,64,1000
123,"1Password, cloudkeychain",    7069 H/s,2,1024
124,Bitcoin/Litecoin wallet.dat,       0 H/s,4,1024
125,MD4,28425.5 MH/s,256,1024
126,MD5,13523.8 MH/s,256,1024
127,Half MD5, 6649.8 MH/s,256,1024
128,SHA1, 4404.8 MH/s,256,1024
129,SHA256, 1688.4 MH/s,256,1024
130,SHA384,  597.4 MH/s,256,256
131,SHA512,  596.9 MH/s,256,256
132,SHA-3(Keccak),  436.4 MH/s,256,128
133,SipHash,17194.7 MH/s,256,1024
134,RipeMD160, 2965.8 MH/s,256,1024
135,Whirlpool,  173.4 MH/s,32,512
136,GOST R 34.11-94,  163.3 MH/s,64,512
137,GOST R 34.11-2012 (Streebog) 256-bit,34216.4 kH/s,16,512
138,GOST R 34.11-2012 (Streebog) 512-bit,34205.9 kH/s,16,512
139,"phpass, MD5(Wordpress), MD5(phpBB3), MD5(Joomla)", 3818.6 kH/s,32,1024
140,scrypt,  236.4 kH/s,64,1
141,PBKDF2-HMAC-MD5, 4142.1 kH/s,8,1000
142,PBKDF2-HMAC-SHA1, 1837.6 kH/s,8,1000
143,PBKDF2-HMAC-SHA256,  767.2 kH/s,8,1000
144,PBKDF2-HMAC-SHA512,  245.8 kH/s,8,1000
145,Skype, 7781.5 MH/s,256,1024
