id,hash_mode,speed,accel,loops,thr,vec
0,0 (MD5),164.1 GH/s (12.91ms),128,1024,128,8
1,10 (md5($pass.$salt)),164.0 GH/s (12.96ms),64,1024,256,8
2,11 (Joomla < 2.5.18),159.4 GH/s (13.37ms),512,1024,32,8
3,12 (PostgreSQL),160.1 GH/s (13.28ms),512,1024,32,8
4,20 (md5($salt.$pass)),84654.8 MH/s (25.18ms),64,1024,256,4
5,"21 (osCommerce, xt:Commerce)",86922.7 MH/s (24.55ms),64,1024,256,4
6,22 (Juniper NetScreen/SSG (ScreenOS)),84767.8 MH/s (25.17ms),64,1024,256,4
7,23 (Skype),84654.8 MH/s (25.19ms),64,1024,256,4
8,24 (SolarWinds Serv-U),84981.0 MH/s (50.29ms),64,1024,512,1
9,30 (md5(utf16le($pass).$salt)),159.7 GH/s (26.62ms),64,1024,512,4
10,40 (md5($salt.utf16le($pass))),86793.5 MH/s (24.53ms),512,1024,32,4
11,50 (HMAC-MD5 (key = $pass)),27213.0 MH/s (78.59ms),32,512,1024,1
12,60 (HMAC-MD5 (key = $salt)),55648.7 MH/s (76.87ms),64,1024,512,1
13,70 (md5(utf16le($pass))),156.6 GH/s (27.16ms),64,1024,512,1
14,100 (SHA1),50638.7 MH/s (42.21ms),32,1024,512,1
15,"101 (nsldap, SHA-1(Base64), Netscape LDAP SHA)",50746.4 MH/s (42.13ms),32,1024,512,1
16,110 (sha1($pass.$salt)),51432.6 MH/s (41.56ms),32,1024,512,1
17,"111 (nsldaps, SSHA-1(Base64), Netscape LDAP SSHA)",50620.9 MH/s (42.23ms),32,1024,512,1
18,112 (Oracle S: Type (Oracle 11+)),51472.4 MH/s (41.53ms),32,1024,512,1
19,120 (sha1($salt.$pass)),39126.2 MH/s (54.68ms),32,1024,512,1
20,121 (SMF (Simple Machines Forum) > v1.1),39038.4 MH/s (54.75ms),64,512,512,1
21,"122 (macOS v10.4, macOS v10.5, macOS v10.6)",38638.8 MH/s (55.37ms),32,1024,512,1
22,124 (Django (SHA-1)),38644.2 MH/s (55.36ms),32,1024,512,1
23,125 (ArubaOS),38532.5 MH/s (55.52ms),32,1024,512,1
24,130 (sha1(utf16le($pass).$salt)),51419.2 MH/s (41.55ms),32,1024,512,1
25,131 (MSSQL (2000)),51210.7 MH/s (41.42ms),32,1024,512,1
26,132 (MSSQL (2005)),51336.5 MH/s (41.61ms),32,1024,512,1
27,133 (PeopleSoft),50628.2 MH/s (42.20ms),32,1024,512,1
28,140 (sha1($salt.utf16le($pass))),38621.1 MH/s (55.38ms),32,1024,512,1
29,141 (Episerver 6.x < .NET 4),38519.2 MH/s (55.50ms),64,512,512,1
30,150 (HMAC-SHA1 (key = $pass)),11781.3 MH/s (90.92ms),32,1024,256,1
31,160 (HMAC-SHA1 (key = $salt)),21791.8 MH/s (49.09ms),16,1024,512,1
32,170 (sha1(utf16le($pass))),50631.2 MH/s (42.19ms),32,1024,512,1
33,200 (MySQL323),534.4 GH/s (7.90ms),64,1024,512,8
34,300 (MySQL4.1/MySQL5),22292.1 MH/s (96.07ms),32,1024,512,1
35,400 (phpass) [Iterations: 2048],45561.4 kH/s (39.63ms),128,1024,256,1
36,"500 (md5crypt, MD5 (Unix), Cisco-IOS $1$ (MD5)) [Iterations: 1000]",61283.8 kH/s (56.04ms),64,1000,512,1
37,501 (Juniper IVE) [Iterations: 1000],61154.4 kH/s (56.15ms),64,1000,512,1
38,600 (BLAKE2b-512),13072.3 MH/s (81.89ms),32,512,512,1
39,610 (BLAKE2b-512($pass.$salt)),13071.3 MH/s (81.90ms),32,512,512,1
40,620 (BLAKE2b-512($salt.$pass)),12163.4 MH/s (88.06ms),32,1024,256,1
41,900 (MD4),290.4 GH/s (7.27ms),512,1024,32,8
42,1000 (NTLM),288.5 GH/s (7.24ms),512,1024,32,8
43,"1100 (Domain Cached Credentials (DCC), MS Cache)",79393.8 MH/s (53.83ms),64,1024,512,4
44,1300 (SHA2-224),21353.8 MH/s (50.10ms),8,1024,1024,1
45,1400 (SHA2-256),21975.5 MH/s (48.66ms),32,512,512,1
46,1410 (sha256($pass.$salt)),21960.3 MH/s (48.70ms),16,512,1024,1
47,"1411 (SSHA-256(Base64), LDAP {SSHA256})",21934.6 MH/s (48.75ms),32,512,512,1
48,1420 (sha256($salt.$pass)),19450.8 MH/s (54.99ms),16,512,1024,1
49,1421 (hMailServer),19402.0 MH/s (55.16ms),8,1024,1024,1
50,1430 (sha256(utf16le($pass).$salt)),21997.7 MH/s (48.62ms),8,1024,1024,1
51,1440 (sha256($salt.utf16le($pass))),19425.6 MH/s (55.08ms),8,1024,1024,1
52,1441 (Episerver 6.x >= .NET 4),19361.8 MH/s (55.26ms),8,1024,1024,1
53,1450 (HMAC-SHA256 (key = $pass)),4333.9 MH/s (61.76ms),8,512,512,1
54,1460 (HMAC-SHA256 (key = $salt)),9387.1 MH/s (57.02ms),16,1024,256,1
55,1470 (sha256(utf16le($pass))),21942.2 MH/s (48.73ms),16,512,1024,1
56,"1500 (descrypt, DES (Unix), Traditional DES)",6276.6 MH/s (85.31ms),16,1024,256,1
57,"1600 (Apache $apr1$ MD5, md5apr1, MD5 (APR)) [Iterations: 1000]",61133.8 kH/s (56.21ms),64,1000,512,1
58,1700 (SHA2-512),7483.4 MH/s (71.54ms),16,512,512,1
59,1710 (sha512($pass.$salt)),7409.5 MH/s (72.25ms),16,512,512,1
60,"1711 (SSHA-512(Base64), LDAP {SSHA512})",7411.2 MH/s (72.24ms),8,1024,512,1
61,1720 (sha512($salt.$pass)),7106.6 MH/s (75.36ms),16,1024,256,1
62,1722 (macOS v10.7),7087.5 MH/s (75.56ms),8,1024,512,1
63,1730 (sha512(utf16le($pass).$salt)),7408.8 MH/s (72.27ms),8,1024,512,1
64,"1731 (MSSQL (2012, 2014))",7410.9 MH/s (72.24ms),16,512,512,1
65,1740 (sha512($salt.utf16le($pass))),7091.1 MH/s (75.50ms),32,512,256,1
66,1750 (HMAC-SHA512 (key = $pass)),1645.0 MH/s (81.39ms),8,256,512,1
67,1760 (HMAC-SHA512 (key = $salt)),3292.9 MH/s (81.32ms),16,512,256,1
68,1770 (sha512(utf16le($pass))),7456.4 MH/s (71.77ms),64,256,256,1
69,"1800 (sha512crypt $6$, SHA512 (Unix)) [Iterations: 5000]",1179.6 kH/s (87.68ms),2048,1024,256,1
70,2000 (STDOUT),39068.9 GH/s (0.02ms),64,1024,512,1
71,"2100 (Domain Cached Credentials 2 (DCC2), MS Cache 2) [Iterations: 10239]",2070.1 kH/s (50.09ms),16,1024,512,1
72,2400 (Cisco-PIX MD5),118.3 GH/s (36.11ms),32,1024,1024,8
73,2410 (Cisco-ASA MD5),119.8 GH/s (17.77ms),64,1024,256,4
74,2600 (md5(md5($pass))),50042.4 MH/s (85.49ms),32,1024,1024,1
75,2611 (vBulletin < v3.8.5),49942.9 MH/s (85.67ms),64,1024,512,1
76,2612 (PHPS),50100.6 MH/s (85.39ms),64,1024,512,1
77,2711 (vBulletin >= v3.8.5),34584.7 MH/s (61.87ms),16,1024,1024,1
78,"2811 (MyBB 1.2+, IPB2+ (Invision Power Board))",35724.2 MH/s (59.89ms),64,1024,256,1
79,3000 (LM),151.1 GH/s (6.95ms),256,1024,32,1
80,3100 (Oracle H: Type (Oracle 7+)),3951.9 MH/s (67.75ms),4,1024,512,1
81,"3200 (bcrypt $2*$, Blowfish (Unix)) [Iterations: 32]",184.0 kH/s (50.22ms),4,32,24,1
82,3500 (md5(md5(md5($pass)))),31672.4 MH/s (67.58ms),16,1024,1024,1
83,3710 (md5($salt.md5($pass))),44081.7 MH/s (48.47ms),64,512,512,1
84,3711 (MediaWiki B type),44498.2 MH/s (96.17ms),64,1024,512,1
85,3800 (md5($salt.$pass.$salt)),87107.7 MH/s (24.44ms),64,1024,256,4
86,3910 (md5(md5($pass).md5($salt))),34545.0 MH/s (61.89ms),32,512,1024,1
87,4010 (md5($salt.md5($salt.$pass))),38028.8 MH/s (56.25ms),32,1024,512,1
88,4110 (md5($salt.md5($pass.$salt))),44514.9 MH/s (48.04ms),128,1024,128,1
89,4300 (md5(strtoupper(md5($pass)))),49904.4 MH/s (85.73ms),32,1024,1024,1
90,4400 (md5(sha1($pass))),27771.9 MH/s (77.08ms),32,1024,512,1
91,4410 (md5(sha1($pass).$salt)),20557.0 MH/s (52.02ms),32,512,512,1
92,4500 (sha1(sha1($pass))),20028.4 MH/s (53.40ms),16,512,1024,1
93,4510 (sha1(sha1($pass).$salt)),19169.9 MH/s (55.82ms),16,1024,512,1
94,4520 (sha1($salt.sha1($pass))),12402.0 MH/s (86.36ms),32,1024,256,1
95,4521 (Redmine),12396.7 MH/s (86.40ms),32,1024,256,1
96,4522 (PunBB),18657.2 MH/s (57.36ms),32,1024,256,1
97,4700 (sha1(md5($pass))),28174.6 MH/s (75.97ms),32,1024,512,1
