id,hash_mode,speed,accel,loops,thr,vec
98,4710 (sha1(md5($pass).$salt)),27008.0 MH/s (79.26ms),32,1024,512,1
99,4711 (Huawei sha1(md5($pass).$salt)),27093.8 MH/s (79.02ms),64,1024,256,1
100,"4800 (iSCSI CHAP authentication, MD5(CHAP))",116.7 GH/s (18.24ms),256,1024,64,8
101,4900 (sha1($salt.$pass.$salt)),37901.1 MH/s (56.44ms),32,1024,512,1
102,5000 (sha1(sha1($salt.$pass.$salt))),18690.9 MH/s (57.23ms),16,512,1024,1
103,5100 (Half MD5),105.8 GH/s (40.39ms),32,1024,1024,1
104,5200 (Password Safe v3) [Iterations: 2049],8660.2 kH/s (46.89ms),16,512,1024,1
105,5300 (IKE-PSK MD5),6272.2 MH/s (85.39ms),16,1024,256,1
106,5400 (IKE-PSK SHA1),2718.3 MH/s (49.21ms),16,256,256,1
107,5500 (NetNTLMv1 / NetNTLMv1+ESS),160.1 GH/s (26.56ms),1024,1024,32,2
108,5600 (NetNTLMv2),11764.8 MH/s (45.44ms),64,256,256,1
109,5700 (Cisco-IOS type 4 (SHA256)),22033.9 MH/s (48.55ms),8,1024,1024,1
110,5800 (Samsung Android Password/PIN) [Iterations: 1023],32340.4 kH/s (57.81ms),32,1023,512,1
111,6000 (RIPEMD-160),36234.6 MH/s (59.00ms),32,512,1024,1
112,6100 (Whirlpool),3393.6 MH/s (78.90ms),16,512,256,1
113,6211 (TrueCrypt RIPEMD160 + XTS 512 bit (legacy)) [Iterations: 1999],1915.6 kH/s (61.18ms),4,512,1024,1
114,6212 (TrueCrypt RIPEMD160 + XTS 1024 bit (legacy)) [Iterations: 1999],1048.5 kH/s (53.78ms),8,128,1024,1
115,6213 (TrueCrypt RIPEMD160 + XTS 1536 bit (legacy)) [Iterations: 1999],719.5 kH/s (76.78ms),8,128,1024,1
116,6221 (TrueCrypt SHA512 + XTS 512 bit (legacy)) [Iterations: 999],2692.0 kH/s (80.40ms),8,999,256,1
117,6222 (TrueCrypt SHA512 + XTS 1024 bit (legacy)) [Iterations: 999],1369.3 kH/s (74.21ms),64,62,256,1
118,6223 (TrueCrypt SHA512 + XTS 1536 bit (legacy)) [Iterations: 999],869.9 kH/s (39.23ms),2,499,512,1
119,6231 (TrueCrypt Whirlpool + XTS 512 bit (legacy)) [Iterations: 999],387.5 kH/s (77.59ms),32,62,128,1
120,6232 (TrueCrypt Whirlpool + XTS 1024 bit (legacy)) [Iterations: 999],192.2 kH/s (73.10ms),4,124,256,1
121,6233 (TrueCrypt Whirlpool + XTS 1536 bit (legacy)) [Iterations: 999],127.2 kH/s (54.98ms),2,124,256,1
122,6241 (TrueCrypt RIPEMD160 + XTS 512 bit + boot-mode (legacy)) [Iterations: 999],3561.1 kH/s (54.48ms),32,124,512,1
123,6242 (TrueCrypt RIPEMD160 + XTS 1024 bit + boot-mode (legacy)) [Iterations: 999],1841.5 kH/s (47.83ms),8,124,1024,1
124,6243 (TrueCrypt RIPEMD160 + XTS 1536 bit + boot-mode (legacy)) [Iterations: 999],1248.3 kH/s (68.16ms),8,124,1024,1
125,6300 (AIX {smd5}) [Iterations: 1000],61250.2 kH/s (56.08ms),32,1000,1024,1
126,6400 (AIX {ssha256}) [Iterations: 63],86221.7 kH/s (31.91ms),64,63,512,1
127,6500 (AIX {ssha512}) [Iterations: 63],40406.5 kH/s (40.42ms),64,63,256,1
128,"6600 (1Password, agilekeychain) [Iterations: 999]",19623.7 kH/s (48.38ms),16,999,512,1
129,6700 (AIX {ssha1}) [Iterations: 63],151.5 MH/s (6.16ms),64,63,256,1
130,6800 (LastPass + LastPass sniffed) [Iterations: 499],17066.6 kH/s (45.49ms),64,124,512,1
131,6900 (GOST R 34.11-94),2424.9 MH/s (55.06ms),32,64,512,1
132,7000 (FortiGate (FortiOS)),44602.1 MH/s (47.94ms),32,1024,512,1
133,7100 (macOS v10.8+ (PBKDF2-SHA512)) [Iterations: 1023],3023.7 kH/s (82.06ms),4,1023,512,1
134,7200 (GRUB 2) [Iterations: 1023],3081.4 kH/s (54.76ms),8,511,512,1
135,7300 (IPMI2 RAKP HMAC-SHA1),6888.3 MH/s (77.75ms),8,1024,512,1
136,"7400 (sha256crypt $5$, SHA256 (Unix)) [Iterations: 5000]",2022.0 kH/s (50.12ms),4,1024,1024,1
137,7401 (MySQL $A$ (sha256crypt)) [Iterations: 5000],1908.2 kH/s (53.12ms),4,1024,1024,1
138,"7500 (Kerberos 5, etype 23, AS-REQ Pre-Auth)",3599.6 MH/s (74.34ms),512,128,32,1
139,7700 (SAP CODVN B (BCODE)),7542.3 MH/s (70.89ms),1024,128,32,1
140,7701 (SAP CODVN B (BCODE) from RFC_READ_TABLE),7539.7 MH/s (70.97ms),512,256,32,1
141,7800 (SAP CODVN F/G (PASSCODE)),5988.5 MH/s (44.63ms),128,128,128,1
142,7801 (SAP CODVN F/G (PASSCODE) from RFC_READ_TABLE),5967.9 MH/s (44.79ms),128,128,128,1
143,7900 (Drupal7) [Iterations: 16384],401.1 kH/s (81.37ms),8,1024,512,1
144,8000 (Sybase ASE),2494.7 MH/s (53.63ms),16,512,128,1
145,8100 (Citrix NetScaler (SHA1)),43409.7 MH/s (49.27ms),16,1024,1024,1
146,"8200 (1Password, cloudkeychain) [Iterations: 39999]",81369 H/s (80.34ms),4,1024,512,1
147,8300 (DNSSEC (NSEC3)),19118.0 MH/s (55.95ms),32,512,512,1
148,8400 (WBB3 (Woltlab Burning Board)),8354.4 MH/s (64.08ms),8,1024,512,1
149,8500 (RACF),21345.9 MH/s (50.12ms),8,1024,1024,1
150,8600 (Lotus Notes/Domino 5),2093.7 MH/s (63.93ms),4,256,1024,1
151,8700 (Lotus Notes/Domino 6),689.3 MH/s (48.51ms),8,64,512,1
152,8800 (Android FDE <= 4.3) [Iterations: 1999],5155.3 kH/s (48.73ms),8,1024,512,1
153,8900 (scrypt) [Iterations: 16384],7126 H/s (29.16ms),128,1024,32,1
154,9000 (Password Safe v2) [Iterations: 1000],4608.2 kH/s (95.33ms),256,1000,24,1
155,9100 (Lotus Notes/Domino 8) [Iterations: 4999],4170.9 kH/s (48.95ms),16,1024,512,1
156,9200 (Cisco-IOS $8$ (PBKDF2-SHA256)) [Iterations: 19999],430.1 kH/s (60.71ms),16,512,512,1
157,9300 (Cisco-IOS $9$ (scrypt)) [Iterations: 16384],83890 H/s (1.76ms),128,1024,32,1
158,9400 (MS Office 2007) [Iterations: 50000],858.0 kH/s (49.65ms),16,1024,1024,1
159,9500 (MS Office 2010) [Iterations: 100000],429.2 kH/s (49.88ms),32,1024,512,1
160,9600 (MS Office 2013) [Iterations: 100000],68356 H/s (78.39ms),1024,512,1024,1
161,"9700 (MS Office <= 2003 $0/$1, MD5 + RC4)",2689.2 MH/s (49.75ms),32,1024,32,1
162,"9710 (MS Office <= 2003 $0/$1, MD5 + RC4, collider #1)",3880.1 MH/s (66.44ms),256,256,32,1
163,"9720 (MS Office <= 2003 $0/$1, MD5 + RC4, collider #2)",13631.8 MH/s (78.46ms),1024,256,32,1
164,"9800 (MS Office <= 2003 $3/$4, SHA1 + RC4)",3573.1 MH/s (74.90ms),512,128,32,1
165,"9810 (MS Office <= 2003 $3, SHA1 + RC4, collider #1)",3762.8 MH/s (68.59ms),256,256,32,1
166,"9820 (MS Office <= 2003 $3, SHA1 + RC4, collider #2)",20877.4 MH/s (51.19ms),1024,256,32,1
167,9900 (Radmin2),58701.8 MH/s (72.87ms),32,1024,1024,4
168,10000 (Django (PBKDF2-SHA256)) [Iterations: 9999],858.5 kH/s (60.66ms),16,512,512,1
169,10100 (SipHash),179.5 GH/s (23.71ms),64,1024,512,1
170,10200 (CRAM-MD5),27359.8 MH/s (78.23ms),32,1024,512,1
171,10300 (SAP CODVN H (PWDSALTEDHASH) iSSHA-1) [Iterations: 1023],31387.1 kH/s (59.65ms),32,1023,512,1
172,10400 (PDF 1.1 - 1.3 (Acrobat 2 - 4)),4331.0 MH/s (61.76ms),512,128,32,1
173,"10410 (PDF 1.1 - 1.3 (Acrobat 2 - 4), collider #1)",4247.6 MH/s (60.02ms),256,256,32,1
174,"10420 (PDF 1.1 - 1.3 (Acrobat 2 - 4), collider #2)",56709.7 MH/s (75.42ms),1024,1024,32,1
175,10500 (PDF 1.4 - 1.6 (Acrobat 5 - 8)) [Iterations: 70],122.0 MH/s (21.46ms),1024,70,32,1
176,10600 (PDF 1.7 Level 3 (Acrobat 9)),22058.3 MH/s (48.50ms),8,1024,1024,1
177,10700 (PDF 1.7 Level 8 (Acrobat 10 - 11)) [Iterations: 64],427.2 kH/s (76.42ms),16,4,256,1
178,10800 (SHA2-384),7382.6 MH/s (72.54ms),8,1024,512,1
179,10810 (sha384($pass.$salt)),7364.8 MH/s (72.71ms),8,1024,512,1
180,10820 (sha384($salt.$pass)),7000.7 MH/s (76.48ms),16,512,512,1
181,10830 (sha384(utf16le($pass).$salt)),7341.8 MH/s (72.92ms),32,512,256,1
182,10840 (sha384($salt.utf16le($pass))),7016.7 MH/s (76.31ms),16,512,512,1
183,10870 (sha384(utf16le($pass))),7369.4 MH/s (72.66ms),8,1024,512,1
184,10900 (PBKDF2-HMAC-SHA256) [Iterations: 999],8865.7 kH/s (50.50ms),64,124,512,1
185,10901 (RedHat 389-DS LDAP (PBKDF2-HMAC-SHA256)) [Iterations: 8191],1046.2 kH/s (62.30ms),64,128,512,1
186,11000 (PrestaShop),61969.9 MH/s (69.01ms),64,1024,512,1
187,11100 (PostgreSQL CRAM (MD5)),49829.5 MH/s (42.90ms),64,1024,256,1
188,11200 (MySQL CRAM (SHA1)),13298.3 MH/s (80.53ms),16,1024,512,1
189,11300 (Bitcoin/Litecoin wallet.dat) [Iterations: 200459],34064 H/s (78.48ms),4,1024,1024,1
190,11400 (SIP digest authentication (MD5)),23031.2 MH/s (46.42ms),64,512,256,1
191,11500 (CRC32),41792.4 MH/s (51.18ms),16,1024,1024,1
192,11600 (7-Zip) [Iterations: 16384],2699.7 kH/s (89.51ms),256,4096,32,1
193,"11700 (GOST R 34.11-2012 (Streebog) 256-bit, big-endian)",488.8 MH/s (68.47ms),4,128,512,1
194,"11750 (HMAC-Streebog-256 (key = $pass), big-endian)",174.5 MH/s (95.95ms),8,64,256,1
195,"11760 (HMAC-Streebog-256 (key = $salt), big-endian)",241.7 MH/s (69.24ms),2,256,256,1
196,"11800 (GOST R 34.11-2012 (Streebog) 512-bit, big-endian)",488.9 MH/s (68.47ms),2,256,512,1
197,"11850 (HMAC-Streebog-512 (key = $pass), big-endian)",152.8 MH/s (54.75ms),1,256,256,1
198,"11860 (HMAC-Streebog-512 (key = $salt), big-endian)",201.7 MH/s (83.01ms),2,256,256,1
199,11900 (PBKDF2-HMAC-MD5) [Iterations: 999],46170.0 kH/s (75.42ms),128,999,256,1
200,12000 (PBKDF2-HMAC-SHA1) [Iterations: 999],19124.4 kH/s (48.36ms),16,999,512,1
201,12001 (Atlassian (PBKDF2-HMAC-SHA1)) [Iterations: 9999],2129.9 kH/s (48.52ms),16,1024,512,1
202,12100 (PBKDF2-HMAC-SHA512) [Iterations: 999],3120.9 kH/s (54.04ms),8,499,512,1
203,12200 (eCryptfs) [Iterations: 65536],104.8 kH/s (77.98ms),8,512,1024,1
204,12300 (Oracle T: Type (Oracle 12+)) [Iterations: 4095],782.5 kH/s (82.49ms),4,1024,512,1
205,"12400 (BSDi Crypt, Extended DES) [Iterations: 2194]",18617.6 kH/s (34.35ms),32,1024,512,1
206,12500 (RAR3-hp) [Iterations: 262144],261.6 kH/s (54.20ms),8,16384,512,1
207,12600 (ColdFusion 10+),12774.1 MH/s (83.84ms),8,1024,1024,1
208,"12700 (Blockchain, My Wallet) [Iterations: 9]",186.2 MH/s (1.79ms),64,9,256,1
209,12800 (MS-AzureSync PBKDF2-HMAC-SHA256) [Iterations: 99],66718.7 kH/s (44.89ms),64,99,512,1
210,12900 (Android FDE (Samsung DEK)) [Iterations: 4095],2207.8 kH/s (58.38ms),8,512,1024,1
211,13000 (RAR5) [Iterations: 32799],280.4 kH/s (57.34ms),16,512,512,1
212,"13100 (Kerberos 5, etype 23, TGS-REP)",3478.0 MH/s (76.95ms),512,128,32,1
213,13200 (AxCrypt 1) [Iterations: 10467],1081.5 kH/s (91.90ms),64,512,256,1
214,13300 (AxCrypt 1 in-memory SHA1),47130.9 MH/s (45.37ms),32,1024,512,1
215,13400 (KeePass 1 (AES/Twofish) and KeePass 2 (AES)) [Iterations: 24569],329.8 kH/s (66.02ms),16,1024,256,1
216,13500 (PeopleSoft PS_TOKEN),36801.9 MH/s (58.13ms),64,1024,256,1
217,13600 (WinZip) [Iterations: 999],18870.1 kH/s (48.89ms),16,999,512,1
218,13711 (VeraCrypt RIPEMD160 + XTS 512 bit (legacy)) [Iterations: 655330],6622 H/s (30.12ms),256,1000,1024,1
219,13712 (VeraCrypt RIPEMD160 + XTS 1024 bit (legacy)) [Iterations: 655330],3786 H/s (26.33ms),256,500,1024,1
220,13713 (VeraCrypt RIPEMD160 + XTS 1536 bit (legacy)) [Iterations: 655330],2649 H/s (37.66ms),256,500,1024,1
221,13721 (VeraCrypt SHA512 + XTS 512 bit (legacy)) [Iterations: 499999],6597 H/s (39.65ms),512,1000,512,1
222,13722 (VeraCrypt SHA512 + XTS 1024 bit (legacy)) [Iterations: 499999],3306 H/s (39.57ms),256,1000,512,1
223,13723 (VeraCrypt SHA512 + XTS 1536 bit (legacy)) [Iterations: 499999],2201 H/s (29.68ms),256,500,512,1
224,13731 (VeraCrypt Whirlpool + XTS 512 bit (legacy)) [Iterations: 499999],781 H/s (41.84ms),1024,250,128,1
225,13732 (VeraCrypt Whirlpool + XTS 1024 bit (legacy)) [Iterations: 499999],387 H/s (42.19ms),512,250,128,1
226,13733 (VeraCrypt Whirlpool + XTS 1536 bit (legacy)) [Iterations: 499999],257 H/s (31.75ms),128,250,256,1
227,13741 (VeraCrypt RIPEMD160 + XTS 512 bit + boot-mode (legacy)) [Iterations: 327660],13127 H/s (31.10ms),1024,256,1024,1
228,13742 (VeraCrypt RIPEMD160 + XTS 1024 bit + boot-mode (legacy)) [Iterations: 327660],7528 H/s (27.13ms),256,512,1024,1
229,13743 (VeraCrypt RIPEMD160 + XTS 1536 bit + boot-mode (legacy)) [Iterations: 327660],5271 H/s (38.76ms),256,512,1024,1
230,13751 (VeraCrypt SHA256 + XTS 512 bit (legacy)) [Iterations: 499999],9060 H/s (28.86ms),512,1000,512,1
231,13752 (VeraCrypt SHA256 + XTS 1024 bit (legacy)) [Iterations: 499999],4557 H/s (28.69ms),256,1000,512,1
232,13753 (VeraCrypt SHA256 + XTS 1536 bit (legacy)) [Iterations: 499999],3044 H/s (42.98ms),256,1000,512,1
233,13761 (VeraCrypt SHA256 + XTS 512 bit + boot-mode (legacy)) [Iterations: 199999],22728 H/s (29.45ms),512,1024,512,1
234,13762 (VeraCrypt SHA256 + XTS 1024 bit + boot-mode (legacy)) [Iterations: 199999],11360 H/s (29.45ms),256,1024,512,1
235,13763 (VeraCrypt SHA256 + XTS 1536 bit + boot-mode (legacy)) [Iterations: 199999],7591 H/s (44.12ms),256,1024,512,1
236,13771 (VeraCrypt Streebog-512 + XTS 512 bit (legacy)) [Iterations: 499999],306 H/s (26.65ms),256,125,256,1
237,13772 (VeraCrypt Streebog-512 + XTS 1024 bit (legacy)) [Iterations: 499999],153 H/s (26.69ms),128,125,256,1
238,13773 (VeraCrypt Streebog-512 + XTS 1536 bit (legacy)) [Iterations: 499999],102 H/s (40.03ms),128,125,256,1
239,13781 (VeraCrypt Streebog-512 + XTS 512 bit + boot-mode (legacy)) [Iterations: 199999],763 H/s (27.39ms),256,128,256,1
240,13782 (VeraCrypt Streebog-512 + XTS 1024 bit + boot-mode (legacy)) [Iterations: 199999],380 H/s (27.47ms),128,128,256,1
241,13783 (VeraCrypt Streebog-512 + XTS 1536 bit + boot-mode (legacy)) [Iterations: 199999],252 H/s (41.49ms),128,128,256,1
242,13800 (Windows Phone 8+ PIN/password),5629.5 MH/s (95.15ms),8,1024,512,1
243,13900 (OpenCart),12692.1 MH/s (84.37ms),32,1024,256,1
244,"14000 (DES (PT = $salt, key = $pass))",146.6 GH/s (7.14ms),256,1024,32,1
245,"14100 (3DES (PT = $salt, key = $pass))",21190.6 MH/s (50.48ms),8,1024,1024,1
246,14400 (sha1(CX)),2484.2 MH/s (53.85ms),4,1024,256,1
247,14500 (Linux Kernel Crypto API (2.4)),7409.5 MH/s (17.97ms),128,64,128,1
248,14600 (LUKS v1 (legacy)) [Iterations: 163044],65253 H/s (50.30ms),16,1024,256,1
249,14700 (iTunes backup < 10.0) [Iterations: 9999],1049.1 kH/s (49.33ms),8,1024,512,1
250,14800 (iTunes backup >= 10.0) [Iterations: 9999999],861 H/s (62.14ms),2048,512,512,1
251,"14900 (Skip32 (PT = $salt, key = $pass))",28021.8 MH/s (2.27ms),32,1024,1024,1
252,15000 (FileZilla Server >= 0.9.55),6695.5 MH/s (79.98ms),8,1024,512,1
253,15100 (Juniper/NetBSD sha1crypt) [Iterations: 19999],1074.4 kH/s (48.43ms),16,1024,512,1
254,"15200 (Blockchain, My Wallet, V2) [Iterations: 4999]",2105.3 kH/s (48.95ms),8,1024,512,1
255,15300 (DPAPI masterkey file v1 (context 1 and 2)) [Iterations: 23999],445.9 kH/s (48.65ms),8,1024,512,1
256,15310 (DPAPI masterkey file v1 (context 3)) [Iterations: 9999],413.2 kH/s (53.68ms),16,512,512,1
257,15400 (ChaCha20),32221.9 MH/s (132.83ms),64,1024,512,1
258,15500 (JKS Java Key Store Private Keys (SHA1)),48425.8 MH/s (44.13ms),32,1024,512,1
259,"15600 (Ethereum Wallet, PBKDF2-HMAC-SHA256) [Iterations: 1023]",8341.3 kH/s (39.46ms),16,511,512,1
260,"15700 (Ethereum Wallet, SCRYPT) [Iterations: 262144]",1 H/s (7.95ms),1,1024,4,1
261,15900 (DPAPI masterkey file v2 (context 1 and 2)) [Iterations: 12899],251.5 kH/s (79.80ms),8,512,512,1
262,15910 (DPAPI masterkey file v2 (context 3)) [Iterations: 9999],188.5 kH/s (115.36ms),4,1024,1024,1
263,16000 (Tripcode),1696.6 MH/s (78.93ms),4,512,512,1
264,16100 (TACACS+),108.9 GH/s (19.55ms),64,1024,256,1
265,16200 (Apple Secure Notes) [Iterations: 19999],455.7 kH/s (57.27ms),16,512,512,1
266,"16300 (Ethereum Pre-Sale Wallet, PBKDF2-HMAC-SHA256) [Iterations: 1999]",4457.8 kH/s (56.81ms),32,256,512,1
267,16400 (CRAM-MD5 Dovecot),162.7 GH/s (13.02ms),512,1024,32,8
268,16500 (JWT (JSON Web Token)),4209.2 MH/s (63.59ms),8,512,512,1
269,16600 (Electrum Wallet (Salt-Type 1-3)),5092.5 MH/s (52.54ms),16,512,256,1
270,16700 (FileVault 2) [Iterations: 19999],430.1 kH/s (60.66ms),8,1024,512,1
