id,hash_mode,speed,accel,loops,thr,vec
68,2501 - WPA-EAPOL-PMK (Iterations: 0),960.3 MH/s (0.00ms),32,1024,1024,1
69,2600 - md5(md5($pass)),20101.2 MH/s (68.13ms),32,512,1024,1
70,2611 - vBulletin < v3.8.5,20108.7 MH/s (68.17ms),32,512,1024,1
71,2612 - PHPS,20109.8 MH/s (68.18ms),32,512,1024,1
72,2711 - vBulletin >= v3.8.5,14107.9 MH/s (97.14ms),32,512,1024,1
73,"2811 - MyBB 1.2+, IPB2+ (Invision Power Board)",14901.6 MH/s (45.90ms),32,256,1024,1
74,3000 - LM,68416.3 MH/s (39.93ms),512,1024,64,1
75,3100 - Oracle H: Type (Oracle 7+),1464.3 MH/s (58.49ms),1,1024,1024,1
76,"3200 - bcrypt $2*$, Blowfish (Unix) (Iterations: 32)",96662 H/s (36.29ms),8,16,11,1
77,3710 - md5($salt.md5($pass)),18629.3 MH/s (73.61ms),32,512,1024,1
78,3711 - MediaWiki B type,18660.7 MH/s (73.49ms),32,512,1024,1
79,3800 - md5($salt.$pass.$salt),37141.3 MH/s (73.84ms),32,1024,1024,1
80,3910 - md5(md5($pass).md5($salt)),14128.9 MH/s (97.11ms),16,1024,1024,1
81,4010 - md5($salt.md5($salt.$pass)),16511.4 MH/s (82.94ms),32,512,1024,1
82,4110 - md5($salt.md5($pass.$salt)),17715.6 MH/s (77.41ms),16,1024,1024,1
83,4300 - md5(strtoupper(md5($pass))),20044.3 MH/s (68.33ms),32,512,1024,1
84,4400 - md5(sha1($pass)),12118.1 MH/s (56.54ms),8,1024,1024,1
85,4500 - sha1(sha1($pass)),8739.0 MH/s (78.46ms),8,1024,1024,1
86,4520 - sha1($salt.sha1($pass)),5317.5 MH/s (64.43ms),4,1024,1024,1
87,4521 - Redmine,5306.1 MH/s (64.58ms),8,512,1024,1
88,4522 - PunBB,8064.5 MH/s (85.04ms),16,512,1024,1
89,4700 - sha1(md5($pass)),12451.0 MH/s (54.96ms),32,256,1024,1
90,4710 - sha1(md5($pass).$salt),11695.4 MH/s (58.59ms),16,512,1024,1
91,4711 - Huawei sha1(md5($pass).$salt),11681.6 MH/s (58.66ms),8,1024,1024,1
92,"4800 - iSCSI CHAP authentication, MD5(CHAP)",42592.2 MH/s (64.33ms),32,1024,1024,1
93,4900 - sha1($salt.$pass.$salt),16904.0 MH/s (81.14ms),16,1024,1024,1
94,5100 - Half MD5,44378.3 MH/s (61.75ms),32,1024,1024,1
95,5200 - Password Safe v3 (Iterations: 2049),3911.6 kH/s (68.21ms),16,512,1024,1
96,5300 - IKE-PSK MD5,2660.7 MH/s (64.40ms),2,1024,1024,1
97,5400 - IKE-PSK SHA1,1154.9 MH/s (74.19ms),2,512,1024,1
98,5500 - NetNTLMv1 / NetNTLMv1+ESS,68311.9 MH/s (40.07ms),32,1024,1024,1
99,5600 - NetNTLMv2,5032.0 MH/s (68.05ms),4,1024,1024,1
100,5700 - Cisco-IOS type 4 (SHA256),9698.1 MH/s (70.69ms),16,512,1024,1
101,5800 - Samsung Android Password/PIN (Iterations: 1023),15851.2 kH/s (55.56ms),32,511,1024,1
102,6000 - RIPEMD-160,15091.4 MH/s (90.87ms),32,512,1024,1
103,6100 - Whirlpool,1489.6 MH/s (57.48ms),1,1024,1024,1
104,6211 - TrueCrypt RIPEMD160 + XTS 512 bit (Iterations: 1999),854.8 kH/s (90.18ms),16,128,1024,1
105,6212 - TrueCrypt RIPEMD160 + XTS 1024 bit (Iterations: 1999),462.5 kH/s (78.57ms),8,128,1024,1
106,6213 - TrueCrypt RIPEMD160 + XTS 1536 bit (Iterations: 1999),315.8 kH/s (56.42ms),8,64,1024,1
107,6221 - TrueCrypt SHA512 + XTS 512 bit (Iterations: 999),1260.4 kH/s (46.36ms),4,249,1024,1
108,6222 - TrueCrypt SHA512 + XTS 1024 bit (Iterations: 999),587.0 kH/s (46.92ms),2,249,1024,1
109,6223 - TrueCrypt SHA512 + XTS 1536 bit (Iterations: 999),383.1 kH/s (71.04ms),2,249,1024,1
110,6231 - TrueCrypt Whirlpool + XTS 512 bit (Iterations: 999),176.5 kH/s (112.97ms),8,31,1024,1
111,6232 - TrueCrypt Whirlpool + XTS 1024 bit (Iterations: 999),86984 H/s (110.30ms),2,62,1024,1
112,6233 - TrueCrypt Whirlpool + XTS 1536 bit (Iterations: 999),59426 H/s (168.62ms),8,15,1024,1
113,6241 - TrueCrypt RIPEMD160 + XTS 512 bit + boot-mode (Iterations: 999),1575.7 kH/s (72.21ms),8,249,1024,1
114,6242 - TrueCrypt RIPEMD160 + XTS 1024 bit + boot-mode (Iterations: 999),818.7 kH/s (74.20ms),16,62,1024,1
115,6243 - TrueCrypt RIPEMD160 + XTS 1536 bit + boot-mode (Iterations: 999),545.9 kH/s (53.21ms),8,62,1024,1
116,6300 - AIX {smd5} (Iterations: 1000),32346.1 kH/s (80.09ms),32,1000,1024,1
117,6400 - AIX {ssha256} (Iterations: 63),55623.2 kH/s (43.20ms),32,63,1024,1
118,6500 - AIX {ssha512} (Iterations: 63),20779.7 kH/s (39.39ms),32,31,1024,1
119,"6600 - 1Password, agilekeychain (Iterations: 999)",9365.4 kH/s (70.44ms),8,999,1024,1
120,6700 - AIX {ssha1} (Iterations: 63),116.7 MH/s (19.66ms),32,63,1024,1
121,6800 - LastPass + LastPass sniffed (Iterations: 499),7938.0 kH/s (55.01ms),16,249,1024,1
