id,hash_mode,speed,accel,loops,thr,vec
69,2611 - vBulletin < v3.8.5,9223.0 MH/s (50.82ms),64,256,1024,1
70,2612 - PHPS,9222.4 MH/s (50.83ms),64,256,1024,1
71,2711 - vBulletin >= v3.8.5,6526.9 MH/s (71.30ms),64,256,1024,2
72,"2811 - IPB2+ (Invision Power Board), MyBB 1.2+",6763.7 MH/s (69.35ms),64,256,1024,1
73,3000 - LM,27895.0 MH/s (66.99ms),256,1024,256,1
74,3100 - Oracle H: Type (Oracle 7+),1286.7 MH/s (79.79ms),64,64,896,1
75,"3200 - bcrypt $2*$, Blowfish (Unix) (Iterations: 32)",20945 H/s (41.67ms),16,8,8,1
76,3710 - md5($salt.md5($pass)),8671.3 MH/s (54.08ms),64,256,1024,1
77,3711 - MediaWiki B type,9064.7 MH/s (90.39ms),64,512,896,2
78,3800 - md5($salt.$pass.$salt),17655.5 MH/s (53.11ms),64,512,1024,1
79,3910 - md5(md5($pass).md5($salt)),6555.0 MH/s (71.55ms),64,256,1024,1
80,4010 - md5($salt.md5($salt.$pass)),7611.8 MH/s (61.60ms),64,256,1024,1
81,4110 - md5($salt.md5($pass.$salt)),8434.9 MH/s (55.61ms),64,256,1024,1
82,4300 - md5(strtoupper(md5($pass))),9169.6 MH/s (50.92ms),64,256,1024,1
83,4400 - md5(sha1($pass)),5973.7 MH/s (78.52ms),64,256,1024,1
84,4500 - sha1(sha1($pass)),4542.3 MH/s (51.39ms),64,128,1024,1
85,4520 - sha1($salt.sha1($pass)),4044.5 MH/s (86.52ms),64,256,768,1
86,4521 - Redmine,4044.3 MH/s (86.42ms),64,256,768,1
87,4522 - PunBB,4071.6 MH/s (86.41ms),64,256,768,1
88,4700 - sha1(md5($pass)),6278.2 MH/s (74.70ms),64,256,1024,1
89,"4800 - iSCSI CHAP authentication, MD5(CHAP)",19061.0 MH/s (49.21ms),64,512,1024,1
90,4900 - sha1($salt.$pass.$salt),9181.1 MH/s (51.05ms),64,256,1024,1
91,5000 - SHA-3 (Keccak),1220.1 MH/s (60.09ms),64,64,640,1
92,5100 - Half MD5,20162.6 MH/s (92.87ms),64,1024,1024,2
93,5200 - Password Safe v3 (Iterations: 2048),1698.3 kH/s (66.91ms),64,128,1024,1
94,5300 - IKE-PSK MD5,2658.3 MH/s (88.21ms),64,128,1024,1
95,5400 - IKE-PSK SHA1,963.1 MH/s (91.07ms),64,64,768,1
96,5500 - NetNTLMv1 / NetNTLMv1+ESS,28256.0 MH/s (61.71ms),64,1024,1024,1
97,5600 - NetNTLMv2,2445.1 MH/s (47.68ms),64,64,1024,1
98,5700 - Cisco-IOS type 4 (SHA256),4279.0 MH/s (54.76ms),64,128,1024,1
99,5800 - Samsung Android Password/PIN (Iterations: 1023),8271.7 kH/s (43.36ms),64,255,1024,1
100,6000 - RIPEMD-160,6659.3 MH/s (70.44ms),64,256,1024,1
101,6100 - Whirlpool,327.5 MH/s (78.35ms),64,16,896,1
102,6211 - TrueCrypt PBKDF2-HMAC-RIPEMD160 + XTS 512 bit (Iterations: 2000),382.4 kH/s (75.33ms),64,32,1024,1
103,6212 - TrueCrypt PBKDF2-HMAC-RIPEMD160 + XTS 1024 bit (Iterations: 2000),213.0 kH/s (67.49ms),64,16,1024,1
104,6213 - TrueCrypt PBKDF2-HMAC-RIPEMD160 + XTS 1536 bit (Iterations: 2000),151.5 kH/s (94.52ms),64,16,1024,1
105,6221 - TrueCrypt PBKDF2-HMAC-SHA512 + XTS 512 bit (Iterations: 1000),550.0 kH/s (88.96ms),64,62,512,1
106,6222 - TrueCrypt PBKDF2-HMAC-SHA512 + XTS 1024 bit (Iterations: 1000),266.8 kH/s (68.85ms),64,31,384,1
107,6223 - TrueCrypt PBKDF2-HMAC-SHA512 + XTS 1536 bit (Iterations: 1000),178.1 kH/s (51.14ms),32,31,384,1
108,6231 - TrueCrypt PBKDF2-HMAC-Whirlpool + XTS 512 bit (Iterations: 1000),50805 H/s (278.40ms),32,31,512,1
109,6232 - TrueCrypt PBKDF2-HMAC-Whirlpool + XTS 1024 bit (Iterations: 1000),25328 H/s (202.65ms),32,15,384,1
110,6233 - TrueCrypt PBKDF2-HMAC-Whirlpool + XTS 1536 bit (Iterations: 1000),16948 H/s (151.72ms),16,15,384,1
111,6241 - TrueCrypt PBKDF2-HMAC-RIPEMD160 + XTS 512 bit + boot-mode (Iterations: 1000),700.2 kH/s (70.73ms),64,31,1024,1
112,6242 - TrueCrypt PBKDF2-HMAC-RIPEMD160 + XTS 1024 bit + boot-mode (Iterations: 1000),381.1 kH/s (61.18ms),32,31,1024,1
113,6243 - TrueCrypt PBKDF2-HMAC-RIPEMD160 + XTS 1536 bit + boot-mode (Iterations: 1000),262.4 kH/s (86.96ms),32,31,1024,1
114,6300 - AIX {smd5} (Iterations: 1000),13267.3 kH/s (66.64ms),1024,1000,32,1
115,6400 - AIX {ssha256} (Iterations: 64),22605.0 kH/s (62.82ms),64,64,896,1
116,6500 - AIX {ssha512} (Iterations: 64),8042.7 kH/s (97.39ms),64,64,512,1
117,"6600 - 1Password, agilekeychain (Iterations: 1000)",4519.8 kH/s (97.63ms),64,250,1024,1
118,6700 - AIX {ssha1} (Iterations: 64),55156.2 kH/s (25.29ms),64,64,1024,1
119,6800 - LastPass + LastPass sniffed (Iterations: 500),3268.4 kH/s (82.80ms),64,125,640,1
120,6900 - GOST R 34.11-94,328.1 MH/s (55.86ms),64,16,640,1
121,7000 - FortiGate (FortiOS),9837.4 MH/s (95.10ms),64,512,1024,1
122,7100 - macOS v10.8+ (PBKDF2-SHA512) (Iterations: 35000),16842 H/s (49.33ms),64,32,512,1
123,7200 - GRUB 2 (Iterations: 10000),58453 H/s (98.62ms),128,32,512,1
124,7300 - IPMI2 RAKP HMAC-SHA1,2348.3 MH/s (74.64ms),64,128,768,1
125,"7400 - sha256crypt $5$, SHA256 (Unix) (Iterations: 5000)",564.3 kH/s (80.23ms),64,128,1024,1
126,7500 - Kerberos 5 AS-REQ Pre-Auth etype 23,400.8 MH/s (73.22ms),256,64,64,1
127,7700 - SAP CODVN B (BCODE),1749.5 MH/s (67.08ms),64,64,1024,1
128,7800 - SAP CODVN F/G (PASSCODE),1132.4 MH/s (64.76ms),64,64,640,1
129,7900 - Drupal7 (Iterations: 16384),68448 H/s (103.57ms),128,64,512,1
130,8000 - Sybase ASE,446.2 MH/s (82.21ms),64,32,640,2
131,8100 - Citrix NetScaler,10263.8 MH/s (91.11ms),64,512,1024,1
132,"8200 - 1Password, cloudkeychain (Iterations: 40000)",10628 H/s (68.24ms),64,32,512,1
133,8300 - DNSSEC (NSEC3),4651.4 MH/s (88.24ms),64,256,896,1
134,8400 - WBB3 (Woltlab Burning Board),1855.2 MH/s (94.78ms),64,128,768,1
135,8500 - RACF,3485.0 MH/s (66.81ms),64,128,1024,1
136,8600 - Lotus Notes/Domino 5,291.2 MH/s (50.34ms),32,16,1024,1
137,8700 - Lotus Notes/Domino 6,96424.6 kH/s (76.04ms),32,8,1024,1
138,8800 - Android FDE <= 4.3 (Iterations: 2000),1133.2 kH/s (99.43ms),64,128,1024,1
139,8900 - scrypt (Iterations: 1),596.0 kH/s (11.74ms),16,1,16,1
140,9000 - Password Safe v2 (Iterations: 1000),434.5 kH/s (43.50ms),512,250,8,1
141,9100 - Lotus Notes/Domino 8 (Iterations: 5000),924.7 kH/s (97.46ms),64,256,1024,1
142,9200 - Cisco-IOS $8$ (PBKDF2-SHA256) (Iterations: 20000),85213 H/s (85.35ms),64,128,640,1
143,9300 - Cisco-IOS $9$ (scrypt) (Iterations: 1),0 H/s (0.00ms),64,128,8,1
144,9400 - MS Office 2007 (Iterations: 50000),188.2 kH/s (49.46ms),64,256,1024,1
145,9500 - MS Office 2010 (Iterations: 100000),94004 H/s (99.06ms),64,512,1024,1
146,9600 - MS Office 2013 (Iterations: 100000),12776 H/s (90.84ms),64,64,1024,1
147,"9700 - MS Office <= 2003 $0/$1, MD5 + RC4",360.7 MH/s (81.36ms),256,64,64,1
148,"9710 - MS Office <= 2003 $0/$1, MD5 + RC4, collider #1",438.6 MH/s (64.16ms),256,64,64,1
149,"9720 - MS Office <= 2003 $0/$1, MD5 + RC4, collider #2",2861.6 MH/s (81.98ms),64,128,1024,1
150,"9800 - MS Office <= 2003 $3/$4, SHA1 + RC4",430.3 MH/s (68.14ms),256,64,64,1
151,"9810 - MS Office <= 2003 $3, SHA1 + RC4, collider #1",469.5 MH/s (60.01ms),256,64,64,1
152,"9820 - MS Office <= 2003 $3, SHA1 + RC4, collider #2",4867.5 MH/s (96.23ms),64,256,1024,1
153,9900 - Radmin2,11761.0 MH/s (79.79ms),64,512,1024,4
154,10000 - Django (PBKDF2-SHA256) (Iterations: 20000),85161 H/s (85.40ms),64,128,640,1
155,10100 - SipHash,38340.4 MH/s (48.90ms),64,1024,1024,2
156,10200 - CRAM-MD5,5250.1 MH/s (89.26ms),64,256,1024,1
157,10300 - SAP CODVN H (PWDSALTEDHASH) iSSHA-1 (Iterations: 1023),7757.0 kH/s (34.52ms),64,255,768,1
158,10400 - PDF 1.1 - 1.3 (Acrobat 2 - 4),487.6 MH/s (60.12ms),256,64,64,1
159,"10410 - PDF 1.1 - 1.3 (Acrobat 2 - 4), collider #1",514.3 MH/s (54.81ms),256,64,64,1
160,"10420 - PDF 1.1 - 1.3 (Acrobat 2 - 4), collider #2",10071.6 MH/s (92.67ms),64,512,1024,1
161,10500 - PDF 1.4 - 1.6 (Acrobat 5 - 8) (Iterations: 70),22639.8 kH/s (75.29ms),1024,70,64,1
162,10600 - PDF 1.7 Level 3 (Acrobat 9),4283.4 MH/s (54.56ms),64,128,1024,1
163,10700 - PDF 1.7 Level 8 (Acrobat 10 - 11) (Iterations: 64),44695 H/s (160.19ms),16,2,512,1
164,10800 - SHA-384,1340.5 MH/s (54.65ms),64,64,640,1
165,10900 - PBKDF2-HMAC-SHA256 (Iterations: 999),1669.1 kH/s (74.32ms),64,124,640,1
166,11000 - PrestaShop,11194.7 MH/s (83.53ms),64,512,1024,2
167,11100 - PostgreSQL CRAM (MD5),9033.7 MH/s (51.82ms),64,256,1024,2
168,11200 - MySQL CRAM (SHA1),3191.6 MH/s (73.48ms),64,128,1024,1
169,11300 - Bitcoin/Litecoin wallet.dat (Iterations: 199999),6342 H/s (91.49ms),64,64,1024,1
170,11400 - SIP digest authentication (MD5),4189.0 MH/s (69.96ms),64,256,640,1
171,11500 - CRC32,6385.1 MH/s (73.57ms),64,256,1024,1
172,11600 - 7-Zip (Iterations: 524288),12920 H/s (51.58ms),64,256,768,1
173,11700 - GOST R 34.11-2012 (Streebog) 256-bit,68159.3 kH/s (67.22ms),32,8,640,1
174,11800 - GOST R 34.11-2012 (Streebog) 512-bit,68946.9 kH/s (53.15ms),32,8,512,1
175,11900 - PBKDF2-HMAC-MD5 (Iterations: 999),9992.4 kH/s (57.96ms),64,499,1024,1
176,12000 - PBKDF2-HMAC-SHA1 (Iterations: 999),4431.6 kH/s (80.18ms),64,249,1024,1
177,12001 - Atlassian (PBKDF2-HMAC-SHA1) (Iterations: 9999),456.7 kH/s (101.73ms),64,256,1024,1
178,12100 - PBKDF2-HMAC-SHA512 (Iterations: 999),591.8 kH/s (89.57ms),64,62,512,1
179,12200 - eCryptfs (Iterations: 65535),19367 H/s (91.42ms),64,64,1024,1
180,12300 - Oracle T: Type (Oracle 12+) (Iterations: 4095),103.8 kH/s (68.21ms),64,32,512,1
181,"12400 - BSDi Crypt, Extended DES (Iterations: 2899)",2019.5 kH/s (74.72ms),64,256,1024,1
182,12500 - RAR3-hp (Iterations: 262144),47279 H/s (56.75ms),4,16384,384,1
